sentid	pairid	comparison	sentence	ROI	verb	freq_bin	frequency
476	238	unexpected	Jessica reprimanded Daniel because he	4	reprimanded	low	12
477	239	expected	John reproached David because he	4	reproached	low	1
478	239	unexpected	Elizabeth reproached David because he	4	reproached	low	1
479	240	expected	James reproved Richard because he	4	reproved	high	61
480	240	unexpected	Linda reproved Richard because he	4	reproved	high	61
481	241	expected	Robert repulsed William because he	4	repulsed	high	34
482	241	unexpected	Jessica repulsed William because he	4	repulsed	high	34
483	242	expected	Mark resented Daniel because he	4	resented	high	41
484	242	unexpected	Emily resented Daniel because he	4	resented	high	41
485	243	expected	Richard respected Mark because he	4	respected	high	54
486	243	unexpected	Emily respected Mark because he	4	respected	high	54
487	244	expected	William revered Thomas because he	4	revered	low	5
488	244	unexpected	Elizabeth revered Thomas because he	4	revered	low	5
489	245	expected	Robert reviled Daniel because he	4	reviled	low	23
490	245	unexpected	Linda reviled Daniel because he	4	reviled	low	23
491	246	expected	David revitalized James because he	4	revitalized	low	3
492	246	unexpected	Emily revitalized James because he	4	revitalized	low	3
493	247	expected	David revolted Mark because he	4	revolted	high	26
494	247	unexpected	Jennifer revolted Mark because he	4	revolted	high	26
495	248	expected	James rewarded Daniel because he	4	rewarded	high	235
496	248	unexpected	Jessica rewarded Daniel because he	4	rewarded	high	235
497	249	expected	Robert ridiculed Mark because he	4	ridiculed	high	61
498	249	unexpected	Grace ridiculed Mark because he	4	ridiculed	high	61
499	250	expected	Robert rushed to David because he	5	rushed to	high	243
500	250	unexpected	Linda rushed to David because he	5	rushed to	high	243
501	251	expected	Robert saluted James because he	4	saluted	high	92
502	251	unexpected	Emily saluted James because he	4	saluted	high	92
503	252	expected	Michael scared Robert because he	4	scared	low	0
504	252	unexpected	Mary scared Robert because he	4	scared	low	0
505	253	expected	Mark scolded Michael because he	4	scolded	low	2
506	253	unexpected	Elizabeth scolded Michael because he	4	scolded	low	2
507	254	expected	John scorned Daniel because he	4	scorned	high	103
508	254	unexpected	Sarah scorned Daniel because he	4	scorned	high	103
509	255	expected	Robert shadowed Michael because he	4	shadowed	low	0
510	255	unexpected	Jessica shadowed Michael because he	4	shadowed	low	0
511	256	expected	David shamed John because he	4	shamed	low	1
512	256	unexpected	Grace shamed John because he	4	shamed	low	1
513	257	expected	Robert shocked Thomas because he	4	shocked	low	5
514	257	unexpected	Jessica shocked Thomas because he	4	shocked	low	5
515	258	expected	Thomas shook William because he	4	shook	high	34
516	258	unexpected	Jennifer shook William because he	4	shook	high	34
517	259	expected	John sickened Robert because he	4	sickened	high	211
518	259	unexpected	Jessica sickened Robert because he	4	sickened	high	211
519	260	expected	David slandered Daniel because he	4	slandered	high	62
520	260	unexpected	Susan slandered Daniel because he	4	slandered	high	62
521	261	expected	Thomas snubbed David because he	4	snubbed	low	4
522	261	unexpected	Grace snubbed David because he	4	snubbed	low	4
523	262	expected	John spanked Michael because he	4	spanked	low	6
524	262	unexpected	Jennifer spanked Michael because he	4	spanked	low	6
525	263	expected	Daniel spooked Robert because he	4	spooked	low	2
526	263	unexpected	Lily spooked Robert because he	4	spooked	low	2
527	264	expected	James staggered David because he	4	staggered	high	65
528	264	unexpected	Sarah staggered David because he	4	staggered	high	65
529	265	expected	Richard stared at James because he	5	stared at	high	106
530	265	unexpected	Sarah stared at James because he	5	stared at	high	106
531	266	expected	Richard startled Thomas because he	4	startled	high	62
532	266	unexpected	Jessica startled Thomas because he	4	startled	high	62
533	267	expected	Robert stimulated Richard because he	4	stimulated	high	26
534	267	unexpected	Elizabeth stimulated Richard because he	4	stimulated	high	26
535	268	expected	Daniel struck John because he	4	struck	high	202
536	268	unexpected	Grace struck John because he	4	struck	high	202
537	269	expected	David sued James because he	4	sued	high	38
538	269	unexpected	Linda sued James because he	4	sued	high	38
539	270	expected	Robert supported David because he	4	supported	high	145
540	270	unexpected	Jennifer supported David because he	4	supported	high	145
541	271	expected	James surprised Michael because he	4	surprised	high	29
542	271	unexpected	Sarah surprised Michael because he	4	surprised	high	29
543	272	expected	David tailed Michael because he	4	tailed	low	1
544	272	unexpected	Mary tailed Michael because he	4	tailed	low	1
545	273	expected	Richard tantalized Thomas because he	4	tantalized	low	0
546	273	unexpected	Grace tantalized Thomas because he	4	tantalized	low	0
547	274	expected	Thomas telephoned Robert because he	4	telephoned	high	48
548	274	unexpected	Mary telephoned Robert because he	4	telephoned	high	48
549	275	expected	James thanked Robert because he	4	thanked	high	37
550	275	unexpected	Elizabeth thanked Robert because he	4	thanked	high	37
551	276	expected	Thomas toasted David because he	4	toasted	low	16
552	276	unexpected	Linda toasted David because he	4	toasted	low	16
553	277	expected	Robert tolerated James because he	4	tolerated	low	9
554	277	unexpected	Susan tolerated James because he	4	tolerated	low	9
555	278	expected	David took away Mark because he	5	took away	low	0
556	278	unexpected	Linda took away Mark because he	5	took away	low	0
557	279	expected	Michael tormented Robert because he	4	tormented	low	2
558	279	unexpected	Jennifer tormented Robert because he	4	tormented	low	2
559	280	expected	David tracked John because he	4	tracked	high	334
560	280	unexpected	Jennifer tracked John because he	4	tracked	high	334
561	281	expected	Robert trailed Daniel because he	4	trailed	low	3
562	281	unexpected	Jessica trailed Daniel because he	4	trailed	low	3
563	282	expected	David treasured Thomas because he	4	treasured	high	154
564	282	unexpected	Elizabeth treasured Thomas because he	4	treasured	high	154
565	283	expected	Richard troubled Robert because he	4	troubled	high	534
566	283	unexpected	Sarah troubled Robert because he	4	troubled	high	534
567	284	expected	Mark trusted Thomas because he	4	trusted	high	53
568	284	unexpected	Jessica trusted Thomas because he	4	trusted	high	53
569	285	expected	David unnerved John because he	4	unnerved	low	14
570	285	unexpected	Susan unnerved John because he	4	unnerved	low	14
571	286	expected	William unsettled Robert because he	4	unsettled	low	6
572	286	unexpected	Mary unsettled Robert because he	4	unsettled	low	6
573	287	expected	David uplifted James because he	4	uplifted	low	2
574	287	unexpected	Grace uplifted James because he	4	uplifted	low	2
575	288	expected	Daniel upset John because he	4	upset	low	2
576	288	unexpected	Elizabeth upset John because he	4	upset	low	2
577	289	expected	Daniel valued John because he	4	valued	high	31
578	289	unexpected	Jennifer valued John because he	4	valued	high	31
579	290	expected	Thomas venerated Mark because he	4	venerated	low	2
580	290	unexpected	Jessica venerated Mark because he	4	venerated	low	2
581	291	expected	Robert vexed Michael because he	4	vexed	low	0
582	291	unexpected	Grace vexed Michael because he	4	vexed	low	0
583	292	expected	Richard victimized Thomas because he	4	victimized	high	55
584	292	unexpected	Lily victimized Thomas because he	4	victimized	high	55
585	293	expected	Thomas vilified William because he	4	vilified	low	8
586	293	unexpected	Susan vilified William because he	4	vilified	low	8
587	294	expected	William visited Daniel because he	4	visited	high	132
588	294	unexpected	Lily visited Daniel because he	4	visited	high	132
589	295	expected	Michael wanted William because he	4	wanted	low	0
590	295	unexpected	Susan wanted William because he	4	wanted	low	0
591	296	expected	Thomas warned Robert because he	4	warned	high	51
592	296	unexpected	Susan warned Robert because he	4	warned	high	51
593	297	expected	Mark wearied John because he	4	wearied	low	2
594	297	unexpected	Jessica wearied John because he	4	wearied	low	2
595	298	expected	David welcomed William because he	4	welcomed	high	88
596	298	unexpected	Elizabeth welcomed William because he	4	welcomed	high	88
597	299	expected	William worried David because he	4	worried	low	4
598	299	unexpected	Susan worried David because he	4	worried	low	4
599	300	expected	Mark worried about John because he	5	worried about	high	51
600	300	unexpected	Sarah worried about John because he	5	worried about	high	51
601	301	expected	Thomas worshipped Richard because he	4	worshipped	high	216
602	301	unexpected	Mary worshipped Richard because he	4	worshipped	high	216
603	302	expected	James wounded Mark because he	4	wounded	high	395
604	302	unexpected	Emily wounded Mark because he	4	wounded	high	395
605	303	expected	Daniel wowed Thomas because he	4	wowed	high	24
606	303	unexpected	Jessica wowed Thomas because he	4	wowed	high	24
607	304	expected	John yearned for James because he	5	yearned for	high	31
608	304	unexpected	Elizabeth yearned for James because he	5	yearned for	high	31
609	305	expected	Mark yelled at Michael because he	5	yelled at	high	25
610	305	unexpected	Elizabeth yelled at Michael because he	5	yelled at	high	25
